
SIM_SERIAL_NO        ST ACTIVATIO
896019990095365964   EX 07-DEC-19
896019990095365965   EX 16-NOV-19
896019990095365966   EX 09-NOV-19
896019990095365967   EX 09-NOV-19
896019990095365968   EX 09-NOV-19
896019990095365969   EX 21-NOV-19
896019990095365970   EX 21-NOV-19
896019990095365971   EX 08-NOV-19
896019990095365972   EX          
896019990095365973   EX 09-NOV-19
896019990095365974   EX 09-NOV-19
896019990095365975   EX 13-NOV-19
896019990095365976   EX 07-NOV-19
896019990095365977   EX 07-NOV-19
896019990095365978   EX 07-NOV-19
896019990095365979   EX 08-NOV-19
896019990095365980   EX 09-NOV-19
896019990095365981   EX 09-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095365982   EX 09-NOV-19
896019990095365983   EX 19-NOV-19
896019990095365984   EX 19-NOV-19
896019990095365985   EX 12-NOV-19
896019990095365986   EX 12-NOV-19
896019990095365987   EX 10-NOV-19
896019990095365988   EX 14-NOV-19
896019990095365989   EX 14-NOV-19
896019990095365990   EX 09-NOV-19
896019990095365991   EX 06-NOV-19
896019990095365992   EX 06-NOV-19
896019990095365993   EX 09-NOV-19
896019990095365994   EX 09-NOV-19
896019990095365995   EX 09-NOV-19
896019990095365996   EX 09-NOV-19
896019990095365997   EX 09-NOV-19
896019990095365998   EX 20-JAN-20
896019990095365999   EX 11-JAN-20
896019990095366000   EX 11-JAN-20
896019990095366001   EX          
896019990095366002   EX          

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366003   EX          
896019990095366004   EX 11-JAN-20
896019990095366005   EX 21-JAN-20
896019990095366006   EX 13-JAN-20
896019990095366007   EX 24-NOV-19
896019990095366008   EX 16-JAN-20
896019990095366009   EX 18-JAN-20
896019990095366010   EX 23-JAN-20
896019990095366011   EX 19-JAN-20
896019990095366012   EX 19-JAN-20
896019990095366013   EX          
896019990095366014   EX 19-JAN-20
896019990095366015   EX 20-FEB-20
896019990095366016   EX 16-JAN-20
896019990095366017   EX 12-JAN-20
896019990095366018   EX 13-JAN-20
896019990095366019   EX 23-JAN-20
896019990095366020   EX          
896019990095366021   EX          
896019990095366022   EX 22-JAN-20
896019990095366023   EX 17-JAN-20

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366024   EX 17-JAN-20
896019990095366025   EX 18-JAN-20
896019990095366026   EX          
